hour,price_gbp_per_mwh,hour_of_day,day_of_week,day_of_year
0,55.51,0,0,0
1,51.45,1,0,0
2,59.27,2,0,0
3,67.72,3,0,0
4,55.88,4,0,0
5,52.13,5,0,0
6,73.13,6,0,0
7,73.2,7,0,0
8,64.54,8,0,0
9,70.12,9,0,0
10,191.02,10,0,0
11,73.3,11,0,0
12,76.91,12,0,0
13,76.96,13,0,0
14,72.69,14,0,0
15,69.92,15,0,0
16,71.67,16,0,0
17,71.95,17,0,0
18,64.97,18,0,0
19,73.67,19,0,0
20,65.57,20,0,0
21,46.29,21,0,0
22,61.3,22,0,0
23,60.76,23,0,0
24,52.09,0,1,1
25,44.01,1,1,1
26,57.24,2,1,1
27,59.02,3,1,1
28,52.59,4,1,1
29,52.85,5,1,1
30,66.87,6,1,1
31,68.81,7,1,1
32,70.23,8,1,1
33,75.38,9,1,1
34,69.14,10,1,1
35,75.68,11,1,1
36,83.83,12,1,1
37,76.36,13,1,1
38,64.58,14,1,1
39,72.27,15,1,1
40,65.01,16,1,1
41,72.81,17,1,1
42,70.12,18,1,1
43,51.19,19,1,1
44,67.64,20,1,1
45,50.18,21,1,1
46,69.65,22,1,1
47,55.59,23,1,1
48,45.65,0,2,2
49,46.9,1,2,2
50,60.02,2,2,2
51,56.01,3,2,2
52,60.85,4,2,2
53,77.42,5,2,2
54,62.03,6,2,2
55,71.21,7,2,2
56,84.98,8,2,2
57,78.28,9,2,2
58,65.17,10,2,2
59,83.26,11,2,2
60,70.32,12,2,2
61,90.47,13,2,2
62,71.44,14,2,2
63,99.87,15,2,2
64,85.36,16,2,2
65,64.36,17,2,2
66,67.79,18,2,2
67,70.55,19,2,2
68,67.9,20,2,2
69,62.68,21,2,2
70,67.25,22,2,2
71,55.05,23,2,2
72,172.75,0,3,3
73,53.32,1,3,3
74,64.16,2,3,3
75,62.12,3,3,3
76,64.01,4,3,3
77,70.94,5,3,3
78,51.27,6,3,3
79,73.27,7,3,3
80,75.43,8,3,3
81,89.52,9,3,3
82,65.84,10,3,3
83,91.73,11,3,3
84,80.28,12,3,3
85,83.18,13,3,3
86,91.48,14,3,3
87,80.65,15,3,3
88,76.88,16,3,3
89,72.73,17,3,3
90,63.81,18,3,3
91,64.35,19,3,3
92,55.96,20,3,3
93,58.84,21,3,3
94,38.6,22,3,3
95,59.52,23,3,3
96,54.76,0,4,4
97,53.45,1,4,4
98,29.1,2,4,4
99,47.78,3,4,4
100,77.17,4,4,4
101,63.8,5,4,4
102,66.57,6,4,4
103,63.11,7,4,4
104,73.92,8,4,4
105,87.31,9,4,4
106,86.41,10,4,4
107,86.16,11,4,4
108,84.1,12,4,4
109,76.45,13,4,4
110,66.52,14,4,4
111,74.61,15,4,4
112,71.84,16,4,4
113,79.23,17,4,4
114,70.21,18,4,4
115,77.52,19,4,4
116,71.31,20,4,4
117,55.59,21,4,4
118,42.98,22,4,4
119,67.23,23,4,4
120,55.65,0,5,5
121,34.26,1,5,5
122,58.46,2,5,5
123,51.35,3,5,5
124,52.06,4,5,5
125,66.59,5,5,5
126,67.54,6,5,5
127,65.09,7,5,5
128,126.56,8,5,5
129,70.19,9,5,5
130,63.97,10,5,5
131,67.93,11,5,5
132,61.56,12,5,5
133,65.71,13,5,5
134,64.24,14,5,5
135,60.18,15,5,5
136,63.87,16,5,5
137,57.29,17,5,5
138,60.8,18,5,5
139,40.69,19,5,5
140,49.87,20,5,5
141,49.35,21,5,5
142,43.9,22,5,5
143,43.81,23,5,5
144,32.14,0,6,6
145,48.08,1,6,6
146,51.61,2,6,6
147,52.28,3,6,6
148,59.13,4,6,6
149,55.33,5,6,6
150,60.65,6,6,6
151,61.17,7,6,6
152,68.32,8,6,6
153,52.69,9,6,6
154,60.06,10,6,6
155,81.11,11,6,6
156,49.14,12,6,6
157,67.29,13,6,6
158,76.59,14,6,6
159,64.56,15,6,6
160,59.58,16,6,6
161,60.96,17,6,6
162,54.0,18,6,6
163,53.96,19,6,6
164,45.35,20,6,6
165,57.2,21,6,6
166,57.81,22,6,6
167,44.16,23,6,6
168,44.77,0,0,7
169,52.08,1,0,7
170,55.99,2,0,7
171,183.42,3,0,7
172,53.79,4,0,7
173,58.6,5,0,7
174,71.94,6,0,7
175,78.48,7,0,7
176,68.89,8,0,7
177,65.68,9,0,7
178,104.52,10,0,7
179,85.72,11,0,7
180,77.72,12,0,7
181,86.4,13,0,7
182,77.25,14,0,7
183,83.28,15,0,7
184,75.13,16,0,7
185,71.69,17,0,7
186,66.95,18,0,7
187,53.17,19,0,7
188,77.36,20,0,7
189,51.84,21,0,7
190,46.59,22,0,7
191,54.56,23,0,7
192,48.2,0,1,8
193,55.89,1,1,8
194,63.0,2,1,8
195,67.37,3,1,8
196,68.41,4,1,8
197,62.34,5,1,8
198,68.29,6,1,8
199,74.26,7,1,8
200,59.83,8,1,8
201,80.94,9,1,8
202,66.63,10,1,8
203,95.81,11,1,8
204,76.66,12,1,8
205,198.0,13,1,8
206,72.13,14,1,8
207,71.34,15,1,8
208,172.08,16,1,8
209,78.52,17,1,8
210,55.5,18,1,8
211,76.82,19,1,8
212,71.44,20,1,8
213,57.16,21,1,8
214,59.95,22,1,8
215,56.18,23,1,8
216,71.7,0,2,9
217,49.96,1,2,9
218,58.7,2,2,9
219,56.01,3,2,9
220,50.46,4,2,9
221,82.35,5,2,9
222,58.47,6,2,9
223,72.79,7,2,9
224,59.99,8,2,9
225,73.21,9,2,9
226,81.69,10,2,9
227,72.91,11,2,9
228,84.61,12,2,9
229,77.36,13,2,9
230,87.59,14,2,9
231,87.3,15,2,9
232,69.23,16,2,9
233,71.64,17,2,9
234,69.39,18,2,9
235,69.77,19,2,9
236,62.04,20,2,9
237,180.96,21,2,9
238,55.58,22,2,9
239,57.25,23,2,9
240,66.33,0,3,10
241,61.52,1,3,10
242,63.16,2,3,10
243,65.24,3,3,10
244,180.71,4,3,10
245,67.39,5,3,10
246,59.26,6,3,10
247,81.2,7,3,10
248,51.68,8,3,10
249,75.73,9,3,10
250,87.46,10,3,10
251,68.62,11,3,10
252,83.14,12,3,10
253,74.09,13,3,10
254,75.39,14,3,10
255,84.0,15,3,10
256,75.53,16,3,10
257,54.78,17,3,10
258,60.13,18,3,10
259,72.64,19,3,10
260,65.54,20,3,10
261,73.44,21,3,10
262,71.01,22,3,10
263,53.62,23,3,10
264,75.99,0,4,11
265,56.57,1,4,11
266,49.87,2,4,11
267,54.41,3,4,11
268,43.91,4,4,11
269,77.71,5,4,11
270,80.72,6,4,11
271,62.95,7,4,11
272,72.14,8,4,11
273,77.21,9,4,11
274,70.67,10,4,11
275,65.51,11,4,11
276,78.28,12,4,11
277,76.99,13,4,11
278,75.25,14,4,11
279,78.23,15,4,11
280,85.4,16,4,11
281,68.65,17,4,11
282,69.33,18,4,11
283,70.67,19,4,11
284,66.4,20,4,11
285,54.56,21,4,11
286,58.34,22,4,11
287,60.75,23,4,11
288,35.95,0,5,12
289,55.5,1,5,12
290,58.04,2,5,12
291,42.71,3,5,12
292,52.53,4,5,12
293,59.01,5,5,12
294,52.62,6,5,12
295,63.94,7,5,12
296,64.29,8,5,12
297,53.72,9,5,12
298,71.05,10,5,12
299,59.77,11,5,12
300,76.49,12,5,12
301,63.2,13,5,12
302,66.08,14,5,12
303,76.44,15,5,12
304,66.95,16,5,12
305,51.45,17,5,12
306,48.86,18,5,12
307,49.08,19,5,12
308,54.14,20,5,12
309,51.36,21,5,12
310,39.84,22,5,12
311,36.05,23,5,12
312,167.24,0,6,13
313,43.95,1,6,13
314,63.86,2,6,13
315,48.8,3,6,13
316,65.51,4,6,13
317,44.52,5,6,13
318,44.41,6,6,13
319,51.14,7,6,13
320,72.5,8,6,13
321,79.53,9,6,13
322,61.13,10,6,13
323,64.9,11,6,13
324,59.64,12,6,13
325,54.09,13,6,13
326,73.13,14,6,13
327,67.26,15,6,13
328,63.08,16,6,13
329,48.9,17,6,13
330,70.11,18,6,13
331,49.86,19,6,13
332,135.26,20,6,13
333,36.87,21,6,13
334,45.07,22,6,13
335,47.73,23,6,13
336,58.61,0,0,14
337,57.64,1,0,14
338,61.56,2,0,14
339,50.47,3,0,14
340,63.58,4,0,14
341,65.8,5,0,14
342,69.85,6,0,14
343,71.68,7,0,14
344,63.81,8,0,14
345,65.94,9,0,14
346,60.68,10,0,14
347,86.13,11,0,14
348,86.62,12,0,14
349,86.34,13,0,14
350,80.84,14,0,14
351,59.42,15,0,14
352,65.78,16,0,14
353,72.47,17,0,14
354,69.08,18,0,14
355,63.11,19,0,14
356,24.95,20,0,14
357,59.61,21,0,14
358,58.57,22,0,14
359,51.29,23,0,14
360,63.86,0,1,15
361,52.96,1,1,15
362,46.96,2,1,15
363,53.35,3,1,15
364,59.21,4,1,15
365,72.85,5,1,15
366,67.66,6,1,15
367,69.62,7,1,15
368,64.01,8,1,15
369,82.77,9,1,15
370,73.18,10,1,15
371,48.79,11,1,15
372,91.84,12,1,15
373,83.66,13,1,15
374,65.37,14,1,15
375,62.33,15,1,15
376,73.49,16,1,15
377,141.4,17,1,15
378,73.19,18,1,15
379,65.23,19,1,15
380,63.32,20,1,15
381,53.86,21,1,15
382,71.54,22,1,15
383,79.15,23,1,15
384,53.77,0,2,16
385,59.23,1,2,16
386,58.38,2,2,16
387,57.44,3,2,16
388,55.34,4,2,16
389,56.21,5,2,16
390,58.91,6,2,16
391,74.35,7,2,16
392,69.84,8,2,16
393,55.86,9,2,16
394,81.95,10,2,16
395,79.28,11,2,16
396,90.77,12,2,16
397,82.57,13,2,16
398,66.56,14,2,16
399,58.65,15,2,16
400,68.24,16,2,16
401,66.1,17,2,16
402,75.54,18,2,16
403,64.82,19,2,16
404,71.07,20,2,16
405,48.91,21,2,16
406,65.33,22,2,16
407,22.17,23,2,16
408,39.85,0,3,17
409,66.98,1,3,17
410,58.35,2,3,17
411,62.64,3,3,17
412,55.07,4,3,17
413,75.09,5,3,17
414,58.5,6,3,17
415,77.75,7,3,17
416,80.56,8,3,17
417,68.68,9,3,17
418,94.25,10,3,17
419,81.43,11,3,17
420,85.22,12,3,17
421,67.37,13,3,17
422,95.33,14,3,17
423,66.68,15,3,17
424,82.19,16,3,17
425,63.14,17,3,17
426,63.04,18,3,17
427,71.2,19,3,17
428,70.21,20,3,17
429,49.34,21,3,17
430,66.32,22,3,17
431,64.76,23,3,17
432,48.48,0,4,18
433,69.18,1,4,18
434,45.93,2,4,18
435,54.5,3,4,18
436,65.81,4,4,18
437,58.05,5,4,18
438,70.09,6,4,18
439,73.01,7,4,18
440,72.48,8,4,18
441,83.12,9,4,18
442,76.55,10,4,18
443,81.42,11,4,18
444,89.15,12,4,18
445,85.9,13,4,18
446,84.66,14,4,18
447,67.27,15,4,18
448,78.18,16,4,18
449,64.06,17,4,18
450,57.73,18,4,18
451,64.3,19,4,18
452,54.75,20,4,18
453,65.82,21,4,18
454,64.1,22,4,18
455,41.17,23,4,18
456,8.34,0,5,19
457,33.7,1,5,19
458,42.87,2,5,19
459,52.12,3,5,19
460,49.03,4,5,19
461,49.14,5,5,19
462,67.37,6,5,19
463,41.63,7,5,19
464,72.86,8,5,19
465,61.1,9,5,19
466,66.73,10,5,19
467,64.34,11,5,19
468,81.31,12,5,19
469,58.71,13,5,19
470,187.45,14,5,19
471,69.67,15,5,19
472,50.08,16,5,19
473,52.71,17,5,19
474,55.78,18,5,19
475,46.77,19,5,19
476,44.44,20,5,19
477,45.68,21,5,19
478,51.77,22,5,19
479,42.63,23,5,19
480,53.57,0,6,20
481,37.37,1,6,20
482,36.54,2,6,20
483,63.87,3,6,20
484,45.68,4,6,20
485,43.35,5,6,20
486,43.01,6,6,20
487,68.65,7,6,20
488,60.21,8,6,20
489,63.4,9,6,20
490,66.06,10,6,20
491,76.64,11,6,20
492,67.51,12,6,20
493,87.29,13,6,20
494,68.41,14,6,20
495,73.92,15,6,20
496,69.39,16,6,20
497,59.76,17,6,20
498,52.25,18,6,20
499,56.49,19,6,20
500,55.03,20,6,20
501,43.88,21,6,20
502,47.88,22,6,20
503,55.24,23,6,20
504,72.48,0,0,21
505,63.16,1,0,21
506,72.43,2,0,21
507,54.4,3,0,21
508,67.54,4,0,21
509,75.52,5,0,21
510,60.75,6,0,21
511,67.14,7,0,21
512,87.82,8,0,21
