hour,price_gbp_per_mwh,hour_of_day,day_of_week,day_of_year
0,110.57445732111789,0,0,1
1,91.84739544133501,1,0,1
2,84.90107756487089,2,0,1
3,95.16058076923576,3,0,1
4,92.1746205827281,4,0,1
5,95.99734016986523,5,0,1
6,135.57819113637572,6,0,1
7,162.2288451455836,7,0,1
8,153.70499200070012,8,0,1
9,162.04826147531307,9,0,1
10,133.9069561317921,10,0,1
11,110.65526828208554,11,0,1
12,114.14232831779435,12,0,1
13,70.23258022283532,13,0,1
14,32.94899266450755,14,0,1
15,27.47085163932255,15,0,1
16,14.44136693361222,16,0,1
17,36.703439797538536,17,0,1
18,196.91686013107295,18,0,1
19,-3.502249811911933,19,0,1
20,48.06531488636274,20,0,1
21,45.32205235062436,21,0,1
22,48.41433613129756,22,0,1
23,18.586365996011626,23,0,1
24,12.298610246866993,0,1,2
25,-17.51625113681086,1,1,2
26,7.311863128994533,2,1,2
27,16.550744207986458,3,1,2
28,14.870674304547,4,1,2
29,18.529349538236342,5,1,2
30,18.431855083417613,6,1,2
31,66.84531484064622,7,1,2
32,74.58337436623701,8,1,2
33,54.81982863178243,9,1,2
34,75.10273213203133,10,1,2
35,47.038076931402564,11,1,2
36,57.80562265137696,12,1,2
37,19.530526236472806,13,1,2
38,-0.6235446008379579,14,1,2
39,15.900488831179047,15,1,2
40,44.37137455737803,16,1,2
41,61.73612845274329,17,1,2
42,69.02175035363723,18,1,2
43,174.28576896980036,19,1,2
44,27.0598286038336,20,1,2
45,17.49766640682411,21,1,2
46,15.694979624041537,22,1,2
47,38.392350191658046,23,1,2
48,36.751595336533505,0,2,3
49,14.368279745428705,1,2,3
50,20.96146524259536,2,2,3
51,19.758890649221478,3,2,3
52,16.92731938628101,4,2,3
53,33.25447114937512,5,2,3
54,61.470638777665016,6,2,3
55,91.40815908714438,7,2,3
56,79.32858128316303,8,2,3
57,76.30437646140741,9,2,3
58,81.72956502755382,10,2,3
59,98.67918351461998,11,2,3
60,88.04792286164167,12,2,3
61,86.04716658777755,13,2,3
62,59.801528255344145,14,2,3
63,36.146248831423165,15,2,3
64,64.40420104771455,16,2,3
65,111.88534841582802,17,2,3
66,116.15315653425762,18,2,3
67,137.57651107692593,19,2,3
68,131.41532906368954,20,2,3
69,100.82755320730678,21,2,3
70,97.68140106121051,22,2,3
71,103.00720557842395,23,2,3
72,73.80348439082914,0,3,4
73,83.49332136822986,1,3,4
74,42.34086465198966,2,3,4
75,51.248560985973725,3,3,4
76,55.322321065903246,4,3,4
77,58.541197670058516,5,3,4
78,71.5545704700577,6,3,4
79,42.93770284921951,7,3,4
80,47.680130170606894,8,3,4
81,63.55245975227906,9,3,4
82,96.66423706706318,10,3,4
83,79.33117748230856,11,3,4
84,63.99732203646916,12,3,4
85,57.74489275658878,13,3,4
86,80.78756860398087,14,3,4
87,86.69924212852456,15,3,4
88,79.19294065157347,16,3,4
89,104.11150423633204,17,3,4
90,113.78594193254773,18,3,4
91,178.6443300589953,19,3,4
92,102.47160166618512,20,3,4
93,85.51727265248842,21,3,4
94,69.92762533935316,22,3,4
95,-1.9451907781599722,23,3,4
96,32.45075511478307,0,4,5
97,35.3567340216749,1,4,5
98,33.79563071729528,2,4,5
99,-2.00213892734466,3,4,5
100,19.694376182348797,4,4,5
101,21.50204551716504,5,4,5
102,-1.1514178130902586,6,4,5
103,21.077355066099983,7,4,5
104,28.52910444358585,8,4,5
105,47.61702329042386,9,4,5
106,92.71775273802302,10,4,5
107,90.72316903118094,11,4,5
108,97.05370530010221,12,4,5
109,96.48434025449134,13,4,5
110,50.58678943425755,14,4,5
111,53.798275075131784,15,4,5
112,63.025537067388,16,4,5
113,185.8238983456975,17,4,5
114,137.9871840595804,18,4,5
115,136.46140588591956,19,4,5
116,120.59889265155456,20,4,5
117,80.29066435047409,21,4,5
118,98.20283067492566,22,4,5
119,89.96162636040009,23,4,5
120,64.68982657715416,0,5,6
121,47.192902744037035,1,5,6
122,55.18898304099969,2,5,6
123,39.02535481784968,3,5,6
124,47.93149136165863,4,5,6
125,80.37461223004887,5,5,6
126,76.73329911530134,6,5,6
127,76.64399875507691,7,5,6
128,84.05500184851506,8,5,6
129,75.82353975486623,9,5,6
130,43.08602479141601,10,5,6
131,46.23137062030257,11,5,6
132,31.18863751847453,12,5,6
133,47.25186922774717,13,5,6
134,32.72510905038428,14,5,6
135,66.18624572448468,15,5,6
136,55.54761423773591,16,5,6
