timestamp,price_eur_mwh,price_gbp_per_mwh,hour,hour_of_day,day_of_week,day_of_year
2023-01-01 00:00:00,84.305786,72.5,0,0,6,1
2023-01-01 01:00:00,76.10235,65.45,1,1,6,1
2023-01-01 02:00:00,33.66055,28.95,2,2,6,1
2023-01-01 03:00:00,39.74364,34.18,3,3,6,1
2023-01-01 04:00:00,25.93593,22.3,4,4,6,1
2023-01-01 05:00:00,19.211605,16.52,5,5,6,1
2023-01-01 06:00:00,24.270443,20.87,6,6,6,1
2023-01-01 07:00:00,25.87035,22.25,7,7,6,1
2023-01-01 08:00:00,27.96025,24.05,8,8,6,1
2023-01-01 09:00:00,21.515772,18.5,9,9,6,1
2023-01-01 10:00:00,25.776978,22.17,10,10,6,1
2023-01-01 11:00:00,28.341288,24.37,11,11,6,1
2023-01-01 12:00:00,26.49262,22.78,12,12,6,1
2023-01-01 13:00:00,34.20146,29.41,13,13,6,1
2023-01-01 14:00:00,39.101173,33.63,14,14,6,1
2023-01-01 15:00:00,36.41761,31.32,15,15,6,1
2023-01-01 16:00:00,43.746387,37.62,16,16,6,1
2023-01-01 17:00:00,40.94252,35.21,17,17,6,1
2023-01-01 18:00:00,50.02094,43.02,18,18,6,1
2023-01-01 19:00:00,49.919052,42.93,19,19,6,1
2023-01-01 20:00:00,47.062176,40.47,20,20,6,1
2023-01-01 21:00:00,39.807327,34.23,21,21,6,1
2023-01-01 22:00:00,46.30734,39.82,22,22,6,1
2023-01-01 23:00:00,42.947186,36.93,23,23,6,1
2023-01-02 00:00:00,47.500782,40.85,24,0,0,2
2023-01-02 01:00:00,43.59287,37.49,25,1,0,2
2023-01-02 02:00:00,45.81744,39.4,26,2,0,2
2023-01-02 03:00:00,47.181297,40.58,27,3,0,2
2023-01-02 04:00:00,50.427513,43.37,28,4,0,2
2023-01-02 05:00:00,55.877304,48.05,29,5,0,2
2023-01-02 06:00:00,74.88868,64.4,30,6,0,2
2023-01-02 07:00:00,74.53472,64.1,31,7,0,2
2023-01-02 08:00:00,70.971794,61.04,32,8,0,2
2023-01-02 09:00:00,61.4536,52.85,33,9,0,2
2023-01-02 10:00:00,59.397366,51.08,34,10,0,2
2023-01-02 11:00:00,60.05919,51.65,35,11,0,2
2023-01-02 12:00:00,53.255367,45.8,36,12,0,2
2023-01-02 13:00:00,45.078243,38.77,37,13,0,2
2023-01-02 14:00:00,41.768665,35.92,38,14,0,2
2023-01-02 15:00:00,52.74425,45.36,39,15,0,2
2023-01-02 16:00:00,65.386116,56.23,40,16,0,2
2023-01-02 17:00:00,162.47289,139.73,41,17,0,2
2023-01-02 18:00:00,73.729645,63.41,42,18,0,2
2023-01-02 19:00:00,75.4391,64.88,43,19,0,2
2023-01-02 20:00:00,73.178474,62.93,44,20,0,2
2023-01-02 21:00:00,69.93994,60.15,45,21,0,2
2023-01-02 22:00:00,118.4162,101.84,46,22,0,2
2023-01-02 23:00:00,115.57649,99.4,47,23,0,2
2023-01-03 00:00:00,114.30793,98.3,48,0,1,3
2023-01-03 01:00:00,111.802635,96.15,49,1,1,3
2023-01-03 02:00:00,110.64115,95.15,50,2,1,3
2023-01-03 03:00:00,112.480835,96.73,51,3,1,3
2023-01-03 04:00:00,101.09822,86.94,52,4,1,3
2023-01-03 05:00:00,100.986305,86.85,53,5,1,3
2023-01-03 06:00:00,101.7487,87.5,54,6,1,3
2023-01-03 07:00:00,101.39234,87.2,55,7,1,3
2023-01-03 08:00:00,101.139755,86.98,56,8,1,3
2023-01-03 09:00:00,109.281334,93.98,57,9,1,3
2023-01-03 10:00:00,96.73172,83.19,58,10,1,3
2023-01-03 11:00:00,97.05949,83.47,59,11,1,3
2023-01-03 12:00:00,80.013954,68.81,60,12,1,3
2023-01-03 13:00:00,77.046906,66.26,61,13,1,3
2023-01-03 14:00:00,81.93063,70.46,62,14,1,3
2023-01-03 15:00:00,93.025475,80.0,63,15,1,3
2023-01-03 16:00:00,106.00522,91.16,64,16,1,3
2023-01-03 17:00:00,118.22505,101.67,65,17,1,3
2023-01-03 18:00:00,119.237946,102.54,66,18,1,3
2023-01-03 19:00:00,116.19359,99.93,67,19,1,3
2023-01-03 20:00:00,119.68837,102.93,68,20,1,3
2023-01-03 21:00:00,113.623055,97.72,69,21,1,3
2023-01-03 22:00:00,99.97046,85.97,70,22,1,3
2023-01-03 23:00:00,89.038666,76.57,71,23,1,3
2023-01-04 00:00:00,78.614494,67.61,72,0,2,4
2023-01-04 01:00:00,81.99901,70.52,73,1,2,4
2023-01-04 02:00:00,35.181133,30.26,74,2,2,4
2023-01-04 03:00:00,39.718292,34.16,75,3,2,4
2023-01-04 04:00:00,37.66523,32.39,76,4,2,4
2023-01-04 05:00:00,42.244568,36.33,77,5,2,4
2023-01-04 06:00:00,51.680878,44.45,78,6,2,4
2023-01-04 07:00:00,53.897694,46.35,79,7,2,4
2023-01-04 08:00:00,58.851078,50.61,80,8,2,4
2023-01-04 09:00:00,51.403133,44.21,81,9,2,4
2023-01-04 10:00:00,43.273697,37.22,82,10,2,4
2023-01-04 11:00:00,34.597443,29.75,83,11,2,4
2023-01-04 12:00:00,22.227705,19.12,84,12,2,4
2023-01-04 13:00:00,25.924446,22.3,85,13,2,4
2023-01-04 14:00:00,26.68147,22.95,86,14,2,4
2023-01-04 15:00:00,34.39193,29.58,87,15,2,4
