agent,price_data,mean_reward,std_reward,co2_util,gpr_extrap_rate,vs_baseline
Full-load baseline,gb,496.7098215818038,821.2337365152456,0.9378048544327815,0.0,0.0
Full-load baseline,nl,324.2114032913874,801.2241244434409,0.9378048544327815,0.0,0.0
Rule-based (threshold),gb,1764.8705508822727,177.2382864354554,0.9430400189574915,0.0,255.3
Rule-based (threshold),nl,1842.4985955686066,135.13442317843527,0.9405785492076936,0.0,468.3
Original SAC,gb,3194.3942879853557,52.08755120507683,0.9349958103573712,0.9607142857142857,543.1
Original SAC,nl,3199.604702011539,62.17490374809524,0.9350001549798813,0.9726190476190476,886.9
Original PPO,gb,1710.156790791812,425.0786181579852,0.9347523396345746,0.9699404761904761,244.3
Original PPO,nl,1612.7871059498161,412.791379251277,0.9347523396345746,0.9699404761904761,397.4
Q-learning,gb,2700.462240967468,214.72353156451825,0.9345137760696135,0.37172619047619054,443.7
Q-learning,nl,2763.2648124351877,150.0697784136891,0.9345729469841855,0.505952380952381,752.3
Fix (a) v2 surr.,gb,2880.696662903562,39.82672892290854,0.8362681735294585,0.0,480.0
Fix (a) v2 surr.,nl,2910.2454962507986,43.315004607628076,0.8383304717210478,0.0,797.6
Fix (b) v1+penalty,gb,3200.8320554652028,50.551375227961096,0.9348905977361136,0.8357142857142857,544.4
Fix (b) v1+penalty,nl,3196.4307286854937,50.89128158090164,0.9349135157375988,0.8883928571428573,885.9
Fix (c) v2+penalty,gb,2915.579746297085,35.82783153018934,0.8478952679194961,0.0,487.0
Fix (c) v2+penalty,nl,2932.520908392652,47.88652166145799,0.8453670621051446,0.0,804.5
SAC (NL-trained),gb,2983.3756862216514,153.62896640775745,0.9349335521273618,0.5991071428571428,500.6
SAC (NL-trained),nl,3043.6569943993463,161.71764531617262,0.9352502222740929,0.8657738095238097,838.8
PPO (NL-trained),gb,1743.6324985752083,409.9223292238357,0.9347523396345746,0.9699404761904761,251.0
PPO (NL-trained),nl,1615.5958242105403,417.0399145469082,0.9347523396345746,0.9699404761904761,398.3
Q-learning (NL-trained),gb,2705.403582659946,167.93528483061172,0.9344991310616303,0.3005952380952381,444.7
Q-learning (NL-trained),nl,2573.655656011812,197.54911979398648,0.9344842531702371,0.2806547619047619,693.8
